name,barrio,descripcion,precio,codigo,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9,opt10
Apartamento en venta,Gratamira - Bogotá,"Hermoso APTO EN VENTA En GRATAMIRA. ESTRATO 4, 3 ALCOBAS 2 BAÑOS, 1 GARAJE CUBIERTO. LUZ NATURAL TOO EL DÍA. VALOR: 270MM NEGOCIABLES ADMIN 200.000 LIBRE DE HIPOTECA..",$ 270.000.000,Código Fincaraíz: 6298129,{'Descripción general': 'Código Fincaraíz: 6298129'},None,{'Descripción general': 'Código Fincaraíz: 6298129'},{'Descripción general': 'Código Fincaraíz: 6298129'},{'Área construída': '67 m²'},{'Área privada': '0 m²'},{'Estrato': '4'},{'Estado': 'Bueno'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '3'}
Apartamento en venta,Santa Teresa - Bogotá,"Excelente apartamento en conjunto cerrado, en el mejor estado, año y medio de construido, único dueño, décimo piso, sala comedor con chimenea a gas, dos alcobas, principal con baño, baño de alcobas, cocina abierta, zona de lavandería, un parqueadero en sótano, un depósito. Que nta con un excelente club house: Piscina, sauna, turco, zonas verdes, sendero peatonal, gimnasio, cancha de squash, salón comunal, salón de juegos, .",$ 420.000.000,Código Fincaraíz: 6247277,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '80 m²'},{'Área privada': '80 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '10'}
None,None,None,None,None,{'Habitaciones': '4'},{'Baños': '6'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '408 m²'},{'Área privada': '408 m²'},{'Estrato': '5'},{'Estado': 'Bueno'},{'Antigüedad': 'más de 30 años'},{'Administración': '$\xa02.136.400 COP'}
Apartamento en venta,Molinos Norte - Bogotá,Apartamento con una año y medio de habitado.,$ 690.000.000,Código Fincaraíz: 6596826,{'Habitaciones': '2'},{'Baños': '3'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '90 m²'},{'Área privada': '90 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '4'}
Apartamento en venta,Los Lagartos - Bogotá,"Apartamento de 94m2, con un preciosa vista al campo de golf del club Los Lagartos. Entramos, una estación de trabajo o recibidor, clóset de linos. Tiene dos habitaciones, dos baños. La principal tiene doble clóset con puerta más walk-in clóset muy amplio. Dos balcones: uno para la sala-comedor y otro que comparten las dos habitaciones. Cocina abierta, zona de lavandería. Excelente diseño interior. Edificio club house: Piscina, gimnasio, lobby principal tipo hotel, parque infantil y mini market..",$ 590.000.000,Código Fincaraíz: 6598203,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '94 m²'},{'Área privada': '83 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '5'}
Apartamento en venta,Polo Club - Bogotá,"Espectacular apartamento cerca a 4 estaciones de TM. La Castellana - Calle 85. Héroes y Polo.103 mts de Área construida. Completamente remodelado sala - comedor, tres alcobas cada una con su closet Estudio Cocina Integral Pisos en madera laminada El Edificio cuenta con estación de gas propia por lo que no se cancela servicio público de Gas natural, además de contar con una planta eléctrica propia. El edificio cuenta con ascensor, parqueadero de visitantes shut de basuras. vigilancia 24 horas..",$ 515.000.000,Código Fincaraíz: 6143397,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '103 m²'},{'Área privada': '0 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '4'}
Apartamento en venta,Chicó - Bogotá,"Encuentra, Arrienda o Vende con nosotros. Siempre más opciones en www.homesnbricks.com Visitanos!! Ofrece Amplio apartamento en venta ubicado en el barrio Chicó. Este inmueble cuenta con sala y comedor independientes, cocina independiente, zona de lavandería, habitación de servicio convertida en estudio. Zona privada con family room, habitación principal con baño privado, Cuatro habitaciones y tres baños Completos . Incluye Dos parqueaderos y depósito. El edificio consta de ascensor y sistema de seguridad 24 hrs. .",$ 932.000.000,Código Fincaraíz: 3909374,{'Habitaciones': '4'},{'Baños': '4'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '192 m²'},{'Área privada': '192 m²'},{'Estrato': '6'},{'Antigüedad': 'más de 30 años'},{'Piso N°': '5'},{'Administración': '$\xa01.123.000 COP'}
Apartamento en venta,Colina Campestre - Bogotá,"Cocina y baños 100 remodelados, pisos laminados, esquinero, iluminado, se entrega con cortinas y blackout nuevos en habitaciones, pintado, listo para mudarse, a una cuadra del centro comercial parque colina y dos cuadras del éxito de la colina",$ 280.000.000,Código Fincaraíz: 6572492,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '64 m²'},{'Área privada': '0 m²'},{'Estrato': '5'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '3'}
Apartamento en venta,Jose Joaquín Vargas - Bogotá,"En el tradicional barrio J.J. Vargas cerca del parque Simón Bolivar y Home Sentry con fácil acceso por cras 60, 68, 30 y cll 63. Ubicado en segundo piso en magnífico edificio de cinco pisos con terraza bbq. ascensor salón social y sistema electrónico de puertas y seguridad. Ofrecemos lindo y confortable apartamento de 70m2. Dos habitaciones, la principal con baño y vestier. Cocina abierta sala comedor con chimenea lindos acabados un parqueo y un depósito..",$ 415.000.000,Código Fincaraíz: 5787278,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '70 m²'},{'Área privada': '68 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': 'menor a 1 año'},{'Piso N°': '2'}
Apartamento en venta,Chicó - Bogotá,"Imagina tener una piscina o incluso una pista de correr en la terraza mientras observas el amanecer, o incluso un gimnasio, una sala de negocios y muchas otras cosas. Este apartamento se encuentra ubicado en la zona Chicó, una de las mejores zonas. Cuenta con dos luminosas habitaciones, una cocina tipo americano y una sala comedor con un balcón y una hermosa vista exterior. A unos pasos se encuentran supermercados, universidades y más. El uso de la caldera no se incluye en administración.",$ 535.000.000,Código Fincaraíz: 6333993,{'Descripción general': 'Código Fincaraíz: 6333993'},None,{'Descripción general': 'Código Fincaraíz: 6333993'},{'Descripción general': 'Código Fincaraíz: 6333993'},{'Área construída': '72 m²'},{'Área privada': '72 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '7'}
Apartamento en venta,El Virrey - Bogotá,"Excelente APARTA ESTUDIO / Monoambiente, 58 m2, Remodelado, Buena iluminación, sala comedor, balcón, pisos en madera, 1 alcoba, 2 baños, cocina integral tipo americano, zona de lavandería, Parqueadero y deposito. El edificio cuenta con amplias zonas comunes, salón social, terraza bbq y gimnasio. Numerosos sitios de interés, parques cercanos, supermercados y bancos. Vías de acceso como la Autopista norte, la Cll 90, la Cra quince y la calle noventa y dos..",$ 450.000.000,Código Fincaraíz: 5301427,{'Habitaciones': '1'},{'Baños': '2'},{'Habitaciones': '1'},{'Habitaciones': '1'},{'Área construída': '58 m²'},{'Área privada': '58 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '2'}
Apartamento en venta,La Cabrera - Bogotá,"En uno de los sectores más tranquilos, seguros y exclusivos de la ciudad, encontramos este hermoso apartamento de una cómoda habitación, una sala comedor muy iluminada con chimenea a gas y leña para las tardes frías, dos baños completos, y una cocina tipo americano abierta que ayuda a dar más amplitud al espacio. El edificio cuenta con una planta eléctrica y una terraza con BBQ que se encuentra en adecuación. ¡Visítalo hoy mismo!..",$ 585.000.000,Código Fincaraíz: 6388876,{'Habitaciones': '1'},{'Baños': '2'},{'Habitaciones': '1'},{'Habitaciones': '1'},{'Área construída': '70 m²'},{'Área privada': '70 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '5'}
Apartamento en venta,Altos de Suba - Bogotá,"Venta Apto 1 piso alto Exterior Balcon Consta: 3 alcobas así: 1 alcoba Principal con balcón y vista exterior, Walking Closet y Baño privado amplio e iluminado, 2 Alcobas con Closet de pared a pared con 1 baño para las 2 alcoba, baño Social, Cuarto y baño de servicio, Sala comedor con balcón, Chimenea a gas, madera granadillo, Sala T.V. o Estudio Mueble Moderno, Cocina Integral italiana, estufa gas, Cuarto baño Servicio, Zona Ropas, calentador, 2 Parqueaderos Cubierto en linea, depósito, Ascensor.",$ 780.000.000,Código Fincaraíz: 6579297,{'Descripción general': 'Código Fincaraíz: 6579297'},None,{'Descripción general': 'Código Fincaraíz: 6579297'},{'Descripción general': 'Código Fincaraíz: 6579297'},{'Área construída': '155 m²'},{'Área privada': '155 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '1'}
Apartamento en venta,Centro Internacional - Bogotá,"apartamento en excelente ubicación diagonal hotel Tequendama consta de 2 habitaciones con closet 2 baños sala comedor cocina cuarto de servicio patio ascensor nuevo, parqueadero cubierto, sobre la calle 26",$ 240.000.000,Código Fincaraíz: 6595437,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '67 m²'},{'Área privada': '0 m²'},{'Estrato': '3'},{'Estado': 'Excelente'},{'Antigüedad': 'más de 30 años'},{'Piso N°': '8'}
Apartamento en venta,Cedritos - Bogotá,"La vista panorámica de este apartamento es incomparable desde el balcón de la sala y el cuarto principal. Además, el apto es muy iluminado, tiene 3 baños, uno social y dos privados en cada habitación, cocina abierta, zona de ropas independiente, 2 parqueaderos y un depósito. El edificio cuenta con una linda piscina, un gimnasio muy completo, una terraza BBQ muy bonita y zonas húmedas. Excelente opción de compra.",$ 449.000.000,Código Fincaraíz: 6426146,{'Habitaciones': '2'},{'Baños': '3'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '64 m²'},{'Área privada': '0 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '10'}
Apartamento en venta,Mazurén - Bogotá,"Lindo apartamento en piso 12 duplex, exterior, 2 chimeneas, balcón, terraza. Ubicado en hermosa zona residencial a 5 minutos del centro comercial parque la colina. Mayores informes JUANITA SILVA.",$ 599.000.000,Código Fincaraíz: 6471453,{'Descripción general': 'Código Fincaraíz: 6471453'},None,{'Descripción general': 'Código Fincaraíz: 6471453'},{'Descripción general': 'Código Fincaraíz: 6471453'},{'Área construída': '122 m²'},{'Área privada': '122 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '12'}
Apartamento en venta,Villas Del Mediterráneo - Bogotá,"Apartamento en segunto piso con buena iluminación natural que consta de 3 habitaciones amplias cada una con closet en madera, estudio, 2 baños uno en la habitación principal, cocina cerrada integral, zona de lavandería, pisos en madera laminada. 2 GARAJES EN SÓTANO. El conjunto cuenta con amplios senderos peatonales, zonas verdes, cancha de Squash, dos salones comunales, parqueadero para visitantes, parque infantil y de recreación. Sin ascensor..",$ 360.000.000,Código Fincaraíz: 5305261,{'Descripción general': 'Código Fincaraíz: 5305261'},None,{'Descripción general': 'Código Fincaraíz: 5305261'},{'Descripción general': 'Código Fincaraíz: 5305261'},{'Área construída': '95 m²'},{'Área privada': '0 m²'},{'Estrato': '4'},{'Estado': 'Bueno'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '2'}
Apartamento en venta,San José de Bavaria - Bogotá,"ESTRENE hermoso apartamento en conjunto Club House, exterior 85 metros + 2.80 de balcón , iluminado, ubicado en la Avda. Boyacá con Calle 170 en un sector de gran valorización, 10 metros delante del ingreso al centro comercial jumbo... Mayores informes Juanita Silva.",$ 498.000.000,Código Fincaraíz: 6405344,{'Descripción general': 'Código Fincaraíz: 6405344'},None,{'Descripción general': 'Código Fincaraíz: 6405344'},{'Descripción general': 'Código Fincaraíz: 6405344'},{'Área construída': '85 m²'},{'Área privada': '85 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': 'menor a 1 año'},{'Piso N°': '12'}
Apartamento en venta,Suba la Campiña - Bogotá,"BAJÓ DE PRECIO... Con parqueadero propio, Apartamento en tercer piso a pocas cuadras de la estación de Transmilenio La campiña, Centro Comercial Plaza Imperial, parques cercanos, estaciones de sitp, buenas vías de acceso, el conjunto cuenta con parqueadero de visitantes y parque infantil, el apartamento no tiene ascensor. El precio es negociable..",$ 178.000.000,Código Fincaraíz: 6256324,{'Descripción general': 'Código Fincaraíz: 6256324'},None,{'Descripción general': 'Código Fincaraíz: 6256324'},{'Descripción general': 'Código Fincaraíz: 6256324'},{'Área construída': '61 m²'},{'Área privada': '54 m²'},{'Estrato': '3'},{'Estado': 'Bueno'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '3'}
